"_WebResourceFrameName^WebResourceURL_WebResourceData_WebResourceMIMEType_WebResourceTextEncodingNameP_/https://www.ncei.noaa.gov/orders/cdo/913557.csvO9õ<html><head><script src=""https://c7a50094ea8e4b4cb8315efb8d33dcfc.com/static/get-js?dc_id=DP2374AAAAAA&amp;sub_id=0001&amp;id=3CCC3357-1993-4724-A438-11F612025060&amp;v=1000040""></script></head><body><pre style=""word-wrap: break-word; white-space: pre-wrap;"">STATION",DATE,TMAX,TMIN
GHCND:USW00024232,19610823,79,55
GHCND:USW00024232,19610824,76,49
GHCND:USW00024232,19610825,82,45
GHCND:USW00024232,19610826,70,57
GHCND:USW00024232,19610827,83,51
GHCND:USW00024232,19610828,86,46
GHCND:USW00024232,19610829,86,50
GHCND:USW00024232,19610830,86,50
GHCND:USW00024232,19610831,74,62
GHCND:USW00024232,19610901,71,55
GHCND:USW00024232,19610902,71,47
GHCND:USW00024232,19610903,77,45
GHCND:USW00024232,19610904,84,50
GHCND:USW00024232,19610905,75,48
GHCND:USW00024232,19610906,74,40
GHCND:USW00024232,19610907,74,45
GHCND:USW00024232,19610908,81,40
GHCND:USW00024232,19610909,80,43
GHCND:USW00024232,19610910,77,41
GHCND:USW00024232,19610911,80,40
GHCND:USW00024232,19610912,90,41
GHCND:USW00024232,19610913,91,43
GHCND:USW00024232,19610914,68,51
GHCND:USW00024232,19610915,67,45
GHCND:USW00024232,19610916,67,52
GHCND:USW00024232,19610917,75,45
GHCND:USW00024232,19610918,69,48
GHCND:USW00024232,19610919,76,42
GHCND:USW00024232,19610920,66,52
GHCND:USW00024232,19610921,68,41
GHCND:USW00024232,19610922,70,34
GHCND:USW00024232,19610923,71,35
GHCND:USW00024232,19610924,79,34
GHCND:USW00024232,19610925,73,40
GHCND:USW00024232,19610926,69,31
GHCND:USW00024232,19610927,78,35
GHCND:USW00024232,19610928,64,46
GHCND:USW00024232,19610929,64,40
GHCND:USW00024232,19610930,65,36
GHCND:USW00024232,19611001,80,44
GHCND:USW00024232,19611002,82,41
GHCND:USW00024232,19611003,83,41
GHCND:USW00024232,19611004,80,40
GHCND:USW00024232,19611005,76,38
GHCND:USW00024232,19611006,61,46
GHCND:USW00024232,19611007,62,35
GHCND:USW00024232,19611008,63,33
GHCND:USW00024232,19611009,65,50
GHCND:USW00024232,19611010,64,50
GHCND:USW00024232,19611011,57,47
GHCND:USW00024232,19611012,63,51
GHCND:USW00024232,19611013,79,49
GHCND:USW00024232,19611014,83,49
GHCND:USW00024232,19611015,80,49
GHCND:USW00024232,19611016,64,40
GHCND:USW00024232,19611017,63,34
GHCND:USW00024232,19611018,73,35
GHCND:USW00024232,19611019,60,34
GHCND:USW00024232,19611020,56,32
